Size,Count
20000,15255
20000,15032
20000,14996
20000,16403
20000,17704
20000,19461
20000,18948
20000,15738
20000,15821
20000,19412
20000,17049
20000,15269
20000,14987
20000,19058
20000,18626
20000,16960
20000,16184
20000,15600
20000,18487
20000,18402
20000,15784
20000,16609
20000,15375
20000,15980
20000,16601
20000,15737
20000,16821
20000,19935
20000,15833
20000,15061
20000,16262
20000,15046
20000,14988
20000,18811
20000,19332
20000,14984
20000,15010
20000,15041
20000,15881
20000,16061
20000,19111
20000,14966
20000,15496
20000,17671
20000,15355
20000,18117
20000,18381
20000,19809
20000,15017
20000,15479
20000,15051
20000,16346
20000,15036
20000,17279
20000,15429
20000,16905
20000,15246
20000,16597
20000,16986
20000,16042
20000,15325
20000,16154
20000,16332
20000,15233
20000,15250
20000,15044
20000,17938
20000,17432
20000,17043
20000,15304
20000,18512
20000,18597
20000,17336
20000,15505
20000,18105
20000,16156
20000,16893
20000,15174
20000,15237
20000,19570
20000,15505
20000,15006
20000,15550
20000,16435
20000,18048
20000,19941
20000,19628
20000,19127
20000,17407
20000,16704
20000,19777
20000,18657
20000,14936
20000,17229
20000,16048
20000,19409
20000,15054
20000,16911
20000,19575
20000,15804
20000,16721
20000,15098
20000,19399
20000,16368
20000,15020
20000,18846
20000,15729
20000,17782
20000,19957
20000,19115
20000,19679
20000,16090
20000,15011
20000,16910
20000,15666
20000,15997
20000,17951
20000,17348
20000,15943
20000,16134
20000,15150
20000,15049
20000,16685
20000,15127
20000,15386
20000,15021
20000,17043
20000,15135
20000,19320
20000,15056
20000,16423
20000,19893
20000,16239
20000,15119
20000,18379
20000,17631
20000,16444
20000,15838
20000,16102
20000,15096
20000,16564
20000,17249
20000,15174
20000,16063
20000,17124
20000,15223
20000,15387
20000,17823
20000,18009
20000,15076
20000,17700
20000,15096
20000,15455
20000,18563
30000,22953
30000,25288
30000,23550
30000,22516
30000,23805
30000,24397
30000,23695
30000,28490
30000,25168
30000,22475
30000,22878
30000,23202
30000,23415
30000,23933
30000,25499
30000,22757
30000,25633
30000,25290
30000,25043
30000,24937
30000,27539
30000,29586
30000,23128
30000,23258
30000,25778
30000,24371
30000,27086
30000,26421
30000,24638
30000,27468
30000,22835
30000,24379
30000,22866
30000,25285
30000,25942
30000,23744
30000,27847
30000,24113
30000,27044
30000,23994
30000,27739
30000,23597
30000,28517
30000,22569
30000,23705
30000,28010
30000,27608
30000,28661
30000,23492
30000,22751
30000,28505
30000,22828
30000,23991
30000,25670
30000,25371
30000,25406
30000,23453
30000,29624
30000,28391
30000,22857
30000,22776
30000,23902
30000,23122
30000,22473
30000,26297
30000,28837
30000,23859
30000,22536
30000,22519
30000,23151
30000,22486
30000,24987
30000,25753
30000,26042
30000,22492
30000,22635
30000,24863
30000,22510
30000,26209
30000,23290
30000,24743
30000,26713
30000,29360
30000,23558
30000,22850
30000,28784
30000,22513
30000,22560
30000,28582
30000,28050
30000,29097
30000,29500
30000,25136
30000,25612
30000,27108
30000,22575
30000,28706
30000,28616
30000,25768
30000,24709
30000,22768
30000,23223
30000,22493
30000,23346
30000,27241
30000,24619
30000,24272
30000,29436
30000,23850
30000,25954
30000,29742
30000,22521
30000,24231
30000,25548
30000,23029
30000,27406
30000,22627
30000,23035
30000,24054
30000,27064
30000,25317
30000,26158
30000,24292
30000,26907
30000,24751
30000,22542
30000,22709
30000,27958
30000,24145
30000,24230
30000,27091
30000,28360
30000,24441
30000,25965
30000,25818
30000,24506
30000,29356
30000,23555
30000,22933
30000,22550
30000,23278
30000,22749
30000,23482
30000,28966
30000,24821
30000,28786
30000,28302
30000,22494
30000,22578
30000,22499
30000,22614
30000,26263
30000,22488
30000,26995
30000,24514
30000,23060
30000,22787
30000,23434
30000,22455
30000,22882
30000,22682
30000,22486
30000,29659
30000,22636
30000,22896
30000,22660
30000,28531
30000,25888
30000,26052
30000,22534
30000,27089
30000,27920
30000,29836
30000,27495
30000,25997
30000,24883
30000,22971
30000,24571
30000,22842
30000,22558
30000,25157
30000,22618
30000,23540
30000,23273
30000,23233
30000,24472
30000,29299
30000,24424
30000,29495
30000,24448
30000,25038
30000,24229
30000,26533
30000,24483
30000,27641
30000,27201
30000,24697
30000,25292
30000,28819
30000,25515
30000,28307
30000,25135
30000,22471
30000,28913
30000,24292
30000,27779
30000,24723
30000,22801
30000,22683
30000,23404
30000,23107
30000,29817
30000,23527
30000,22648
30000,22495
30000,23821
30000,22709
30000,23787
30000,23473
30000,26940
30000,28633
30000,26165
30000,23977
30000,26897
30000,22563
30000,22707
30000,22736
30000,26148
30000,23873
30000,26512
30000,29947
30000,24659
30000,26773
30000,29560
30000,26719
30000,23515
30000,27693
30000,25313
30000,22639
30000,26051
30000,28334
30000,26759
30000,22435
30000,22560
30000,23272
30000,23220
30000,25467
30000,22931
30000,22534
30000,22993
30000,24089
30000,22715
30000,23014
30000,22579
30000,22497
30000,29550
30000,24525
30000,25238
30000,23044
30000,22637
30000,28301
30000,22706
30000,23442
30000,29474
30000,29726
30000,27838
30000,24452
30000,25625
30000,24538
30000,22892
30000,22583
30000,24660
30000,25677
30000,25657
30000,22594
30000,28315
30000,22513
30000,22478
30000,25330
30000,29859
30000,29508
30000,28202
30000,26925
30000,22640
30000,26521
30000,26555
30000,27689
30000,29404
30000,22614
30000,28122
30000,27058
30000,27793
30000,27641
30000,23222
30000,27992
30000,23174
30000,24275
30000,26739
30000,22868
30000,26695
40000,32026
40000,30046
40000,36327
40000,34830
40000,30505
40000,38281
40000,38676
40000,37685
40000,34703
40000,30272
40000,34201
40000,32916
40000,34520
40000,33813
40000,31118
40000,31046
40000,32147
40000,31659
40000,31597
40000,39224
40000,39049
40000,36656
40000,32525
40000,30474
40000,39149
40000,36794
40000,37438
40000,30640
40000,35023
40000,32642
40000,32438
40000,33902
40000,32447
40000,37666
40000,33016
40000,30261
40000,39711
40000,38198
40000,31817
40000,30906
40000,36056
40000,37286
40000,31927
40000,32213
40000,32178
40000,34428
40000,32801
40000,29980
40000,30000
40000,38742
40000,39151
40000,34470
40000,31179
40000,38018
40000,38971
40000,31785
40000,32764
40000,32913
40000,31315
40000,32185
40000,39467
40000,30489
40000,31025
40000,30174
40000,37464
40000,35422
40000,33074
40000,38208
40000,30097
40000,31679
40000,37596
40000,30209
40000,30254
40000,31660
40000,37751
40000,30689
40000,30083
40000,33095
40000,29991
40000,32570
40000,30352
40000,30453
40000,35086
40000,35191
40000,35008
40000,32513
40000,32108
40000,33233
40000,37667
40000,30909
40000,39404
40000,37532
40000,33669
40000,31310
40000,31210
40000,29935
40000,32353
40000,30086
40000,33189
40000,30629
40000,31930
40000,31949
40000,30499
40000,35843
40000,38086
40000,32666
40000,34842
40000,30080
40000,32159
40000,32341
40000,29975
40000,33446
40000,29946
40000,35111
40000,30234
40000,37474
40000,30096
40000,30418
40000,38191
40000,31706
40000,31506
40000,31636
40000,34281
40000,30287
40000,32760
40000,32203
40000,30368
40000,30495
40000,31474
40000,31264
40000,37207
40000,32160
40000,34712
40000,37464
40000,31519
40000,32659
40000,38345
40000,34210
40000,39046
40000,35193
40000,30100
40000,34742
40000,30571
40000,32521
40000,36339
40000,39563
40000,38970
40000,30038
40000,30194
40000,31344
40000,32187
40000,30795
40000,29975
40000,34615
40000,34255
40000,34382
40000,39882
40000,32500
40000,37635
40000,31782
40000,35139
40000,38570
40000,32528
40000,30317
40000,38945
40000,30403
40000,30882
40000,39996
40000,39959
40000,31246
40000,30004
40000,37639
40000,34738
40000,31134
40000,35960
40000,31633
40000,31711
40000,29961
40000,33157
40000,32880
40000,35447
40000,37776
40000,31104
40000,39167
40000,30029
40000,30067
40000,33522
40000,34624
40000,30385
40000,31707
40000,36577
40000,39983
40000,37291
40000,30787
40000,30820
40000,30010
40000,32176
40000,30662
40000,31836
40000,38941
40000,30126
40000,30863
40000,31755
40000,31477
40000,34752
40000,39275
40000,37231
40000,34927
40000,30430
40000,37567
40000,35324
40000,30011
40000,37987
40000,30053
40000,36589
40000,30142
40000,32949
40000,29982
40000,30061
40000,38137
40000,36088
40000,30127
40000,38500
40000,29977
40000,32613
40000,39650
40000,37799
40000,30980
40000,31009
40000,36899
40000,38178
40000,32492
40000,30464
40000,35202
40000,30765
40000,36233
40000,31908
40000,32885
40000,39639
40000,35140
40000,37833
40000,32471
40000,37001
40000,34699
40000,31165
40000,30924
40000,34576
40000,34100
40000,34319
40000,31189
40000,30465
40000,33059
40000,32059
40000,33549
40000,31256
40000,37035
40000,30702
40000,30954
40000,31222
40000,32217
40000,30062
40000,36464
40000,30855
40000,38443
40000,30077
40000,34544
40000,39867
40000,36508
40000,37812
40000,32973
40000,35053
40000,31808
40000,36625
40000,31386
40000,35311
40000,30110
40000,34418
40000,37161
40000,39150
40000,31021
40000,32117
40000,30403
40000,31931
40000,38738
40000,37591
40000,32266
40000,30594
40000,38570
40000,33385
40000,30326
40000,32065
40000,33403
40000,36739
40000,30284
40000,39721
40000,31485
40000,30054
40000,30995
